id	relation1	relation2	relation3
H_81-code.2.26.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20119-code&ref=fr_20119-code.2.26.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.26.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.26.0&mediaType=html
H_81-code.2.27.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20119-code&ref=fr_20119-code.2.27.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.27.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.27.0&mediaType=html
H_81-code.2.28.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20119-code&ref=fr_20119-code.2.28.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.28.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.28.0&mediaType=html
H_81-code.2.29.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20119-code&ref=fr_20119-code.2.29.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.29.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.29.0&mediaType=html
H_81-code.2.30.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20119-code&ref=fr_20119-code.2.30.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.30.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.30.0&mediaType=html
H_81-code.2.31.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20119-code&ref=fr_20119-code.2.31.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.31.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.31.0&mediaType=html
H_81-code.2.32.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20119-code&ref=fr_20119-code.2.32.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.32.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.32.0&mediaType=html
H_81-code.2.33.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20119-code&ref=fr_20119-code.2.33.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.33.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.33.0&mediaType=html
H_81-code.2.34.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20119-code&ref=fr_20119-code.2.34.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.34.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.34.0&mediaType=html
H_81-code.2.35.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20119-code&ref=fr_20119-code.2.35.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.35.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.35.0&mediaType=html
H_81-code.2.36.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20119-code&ref=fr_20119-code.2.36.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.36.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.36.0&mediaType=html
H_81-code.2.37.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20119-code&ref=fr_20119-code.2.37.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.37.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.37.0&mediaType=html
H_81-code.2.38.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20119-code&ref=fr_20119-code.2.38.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.38.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.38.0&mediaType=html
H_81-code.2.39.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20119-code&ref=fr_20119-code.2.39.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.39.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.39.0&mediaType=html
H_81-code.2.40.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20119-code&ref=fr_20119-code.2.40.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.40.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.40.0&mediaType=html
H_81-code.2.41.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20119-code&ref=fr_20119-code.2.41.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.41.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.41.0&mediaType=html
H_81-code.2.42.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20119-code&ref=fr_20119-code.2.42.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.42.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.42.0&mediaType=html
H_81-code.2.43.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20119-code&ref=fr_20119-code.2.43.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.43.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.43.0&mediaType=html
H_81-code.2.44.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20119-code&ref=fr_20119-code.2.44.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.44.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.44.0&mediaType=html
H_81-code.2.45.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20119-code&ref=fr_20119-code.2.45.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.45.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.45.0&mediaType=html
H_81-code.2.46.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20119-code&ref=fr_20119-code.2.46.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.46.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.46.0&mediaType=html
H_81-code.2.47.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20119-code&ref=fr_20119-code.2.47.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.47.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.47.0&mediaType=html
H_81-code.2.48.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20119-code&ref=fr_20119-code.2.48.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.48.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.48.0&mediaType=html
H_81-code.2.49.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20119-code&ref=fr_20119-code.2.49.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.49.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.49.0&mediaType=html
H_81-code.2.50.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20119-code&ref=fr_20119-code.2.50.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.50.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.50.0&mediaType=html
H_81-code.2.51.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20119-code&ref=fr_20119-code.2.51.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.51.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.51.0&mediaType=html
H_81-code.2.52.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20119-code&ref=fr_20119-code.2.52.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.52.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.52.0&mediaType=html
H_81-code.2.53.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20119-code&ref=fr_20119-code.2.53.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.53.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.53.0&mediaType=html
H_81-code.2.54.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20119-code&ref=fr_20119-code.2.54.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.54.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.54.0&mediaType=html
H_81-code.2.55.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20119-code&ref=fr_20119-code.2.55.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.55.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.55.0&mediaType=html
H_81-code.2.56.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20119-code&ref=fr_20119-code.2.56.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.56.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.56.0&mediaType=html
H_81-code.2.57.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20119-code&ref=fr_20119-code.2.57.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.57.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.57.0&mediaType=html
H_81-code.2.58.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20119-code&ref=fr_20119-code.2.58.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.58.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.58.0&mediaType=html
fr_20119-code.2.1.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.1.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.1.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=H_81-code&ref=H_81-code.2.1.0&mediaType=html
fr_20119-code.2.2.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.2.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.2.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=H_81-code&ref=H_81-code.2.2.0&mediaType=html
fr_20119-code.2.3.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.3.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.3.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=H_81-code&ref=H_81-code.2.3.0&mediaType=html
fr_20119-code.2.4.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.4.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.4.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=H_81-code&ref=H_81-code.2.4.0&mediaType=html
fr_20119-code.2.5.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.5.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.5.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=H_81-code&ref=H_81-code.2.5.0&mediaType=html
fr_20119-code.2.6.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.6.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.6.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=H_81-code&ref=H_81-code.2.6.0&mediaType=html
fr_20119-code.2.7.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.7.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.7.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=H_81-code&ref=H_81-code.2.7.0&mediaType=html
fr_20119-code.2.7bis.0		https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.7bis.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=H_81-code&ref=H_81-code.2.7bis.0&mediaType=html
fr_20119-code.2.8.0	https://dev.chartes.psl.eu/dots/api/dts/document?resource=fr_20120-code&ref=fr_20120-code.2.8.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=giessen_945-code&ref=giessen_945-code.2.8.0&mediaType=html	https://dev.chartes.psl.eu/dots/api/dts/document?resource=H_81-code&ref=H_81-code.2.8.0&mediaType=html
